row,col0,col1,col2,col3,col4,time,
0,48,30,10,13,13,260,
1,27,45,18,35,33,,
2,31,18,43,23,43,,
3,43,11,27,23,43,,
4,11,40,32,0,31,,
5,15,26,4,18,44,,
6,40,48,30,44,39,,
7,27,48,27,40,23,,
8,0,31,35,4,13,,
9,27,26,31,33,30,,
10,15,11,26,45,0,,
11,15,44,26,26,44,,
12,10,44,35,18,10,,
13,18,32,43,33,13,,
14,4,23,33,45,0,,
15,13,32,4,31,32,,
16,39,15,40,40,15,,
17,39,10,4,30,13,,
18,44,27,23,26,40,,
19,45,39,35,35,30,,
20,30,33,35,15,31,,
21,48,39,11,45,33,,
22,45,48,11,0,39,,
23,11,10,43,32,32,,
24,4,0,18,48,23,,
25,10,,,,,,
