row,col0,col1,col2,col3,col4,time,,
0,9,17,47,5,3,260,,
1,11,41,5,28,27,,,
2,39,7,17,37,9,,,
3,8,47,37,39,9,,,
4,11,39,1,16,0,,,
5,20,39,8,27,37,,,
6,9,28,39,44,5,,,
7,47,3,28,3,44,,,
8,7,11,3,5,1,,,
9,44,1,3,11,20,,,
10,27,16,44,14,17,,,
11,37,7,41,37,15,,,
12,9,16,8,44,27,,,
13,22,41,28,9,0,,,
14,27,37,28,1,5,,,
15,47,8,3,1,14,,,
16,11,15,22,44,39,,,
17,41,5,16,1,15,,,
18,27,20,15,14,17,,,
19,15,0,17,7,8,,,
20,22,47,41,17,0,,,
21,16,20,41,22,14,,,
22,7,14,11,22,8,,,
23,16,14,0,15,22,,,
24,28,20,20,7,47,,,
25,0,,,,,,,
