row,col0,col1,col2,col3,col4,time
0,16,20,4,17,13,265
1,12,9,2,11,14,
2,20,30,7,27,12,
3,19,9,18,5,11,
4,18,5,27,30,6,
5,4,13,3,21,14,
6,22,17,14,20,25,
7,3,4,1,15,28,
8,2,22,14,10,23,
9,1,10,8,5,20,
10,15,24,7,16,11,
11,13,5,3,6,14,
12,8,25,19,7,22,
13,18,9,12,1,8,
14,16,24,15,26,4,
15,18,13,7,10,15,
16,16,19,8,6,12,
17,23,9,16,26,17,
18,21,18,24,2,19,
19,15,29,23,5,2,
20,6,4,10,28,12,
21,1,29,11,17,2,
22,29,9,3,17,19,
23,8,2,4,27,13,
24,20,10,9,3,5,
25,7,6,25,10,14,
26,13,21,16,18,17,
27,15,19,20,11,1,
28,12,6,26,30,3,
29,1,7,28,8,11,
