row,col0,col1,col2,col3,col4,time,
0,2,14,31,9,22,260,
1,17,5,28,11,36,,
2,1,7,12,33,6,,
3,18,13,3,15,16,,
4,8,20,2,10,19,,
5,14,4,17,31,9,,
6,28,22,5,1,36,,
7,11,33,12,7,13,,
8,6,18,16,3,5,,
9,15,8,20,14,10,,
10,17,2,19,4,28,,
11,3,31,9,22,12,,
12,36,11,13,1,6,,
13,33,16,7,5,18,,
14,14,15,10,20,2,,
15,4,17,19,8,28,,
16,31,3,22,12,11,,
17,9,1,6,36,13,,
18,16,33,18,5,22,,
19,11,7,14,4,2,,
20,17,28,36,31,9,,
21,3,22,1,11,12,,
22,33,6,13,16,7,,
23,2,18,5,36,17,,
24,14,4,9,33,6,,
25,13,28,1,31,3,,
26,7,16,12,4,18,,
