row	col0	col1	col2	col3	col4	time							
0	11	23	14	26	0	220							
1	25	0	14	7	10								
2	3	14	1	22	2								
3	10	5	15	25	10								
4	12	7	20	10	11								
5	26	11	15	10	13								 
6	0	12	15	6	22								
7	13	25	18	5	11								
8	26	15	25	2	16								
9	23	6	16	12	18								
10	10	7	26	5	20								
11	23	11	13	6	0								
12	20	14	1	6	2								
13	7	23	16	14	20								
14	1	25	15	22	16								
15	26	3	18	12	14								
16	4	16	8	22	18								
17	23	11	4	13	8								
18	12	20	25	22	7								
19	1	3	3	5	26								
20	0	13	23	2	1								
21	12	3	2	0	1								
22	6	15	18	3	2								
23	22	5	18	4	16								
24	6	5	20	13	8								
25			7										
